node,coord,u+,v,T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
1.0000E+000,-1.0000E-002,1.0606E+000,9.3041E-002,2.9400E+002,0.0000E+000,0.0000E+000,0.0000E+000,1.9662E-001,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,1.5637E-001,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,6.4701E-001,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,1.0000E+000
2.0000E+000,-9.8830E-003,1.0606E+000,9.0559E-002,2.9414E+002,8.8733E-006,4.6223E-022,5.7951E-016,1.9661E-001,1.3050E-015,1.1827E-005,4.6995E-010,7.3638E-010,2.9366E-035,1.8584E-038,1.2114E-023,1.4313E-025,5.5869E-011,1.5635E-001,3.8930E-006,8.9877E-007,1.6222E-022,1.2787E-008,2.4104E-024,1.7407E-014,1.4591E-009,4.0573E-033,1.0714E-007,6.3332E-025,5.3695E-008,5.4720E-019,1.7999E-008,7.7966E-023,4.2272E-009,1.6915E-011,3.8369E-026,1.9743E-023,2.0181E-013,2.4244E-009,9.7118E-031,2.1320E-010,8.1445E-010,7.3011E-013,8.9494E-016,4.7542E-034,6.0953E-010,2.1099E-015,5.3751E-038,4.0155E-011,1.6059E-013,1.9583E-010,1.1602E-017,6.4701E-001,0.0000E+000,4.8766E-015,1.9738E-011,1.8420E-021,1.2842E-011,9.9997E-001
3.0000E+000,-9.6338E-003,1.0609E+000,8.5451E-002,2.9464E+002,3.1853E-005,2.5598E-020,2.4706E-015,1.9658E-001,2.4064E-014,5.6070E-005,2.2756E-009,3.5738E-009,1.7605E-035,2.4110E-038,4.6049E-022,1.2495E-023,2.6417E-010,1.5629E-001,1.8871E-005,4.8448E-006,1.4367E-020,6.9542E-008,2.4227E-022,2.4977E-013,7.9931E-009,4.1392E-031,5.6553E-007,6.1808E-023,2.8801E-007,1.0684E-017,9.9937E-008,3.1986E-021,2.4489E-008,9.7989E-011,1.8258E-025,3.7358E-022,8.4679E-013,1.1590E-008,5.4989E-029,1.0362E-009,4.2146E-009,3.9497E-012,4.3467E-015,5.0076E-032,3.3390E-009,1.1601E-014,1.9087E-037,2.1685E-010,8.6724E-013,1.0575E-009,6.2550E-017,6.4703E-001,0.0000E+000,3.0429E-014,1.2340E-010,4.4624E-020,7.4692E-011,9.9985E-001
4.0000E+000,-9.3894E-003,1.0616E+000,8.0570E-002,2.9561E+002,6.0555E-005,3.2718E-019,5.6833E-015,1.9651E-001,1.4913E-013,1.4090E-004,5.8488E-009,9.2017E-009,1.1175E-034,1.7807E-037,5.2641E-021,1.9476E-022,6.6243E-010,1.5617E-001,4.8535E-005,1.3906E-005,2.5143E-019,2.0143E-007,4.3669E-021,1.5199E-012,2.3328E-008,7.8783E-030,1.5882E-006,1.1110E-021,8.2243E-007,1.1387E-016,2.9582E-007,4.4180E-020,7.5763E-008,3.0316E-010,5.2630E-025,2.7075E-021,1.8794E-012,2.9375E-008,7.3325E-028,2.6730E-009,1.1594E-008,1.1379E-011,1.1202E-014,9.8136E-031,9.7444E-009,3.3989E-014,9.3222E-037,6.2361E-010,2.4940E-012,3.0413E-009,1.7998E-016,6.4705E-001,0.0000E+000,1.0197E-013,4.1346E-010,3.4452E-019,2.3205E-010,9.9963E-001
5.0000E+000,-9.1498E-003,1.0627E+000,7.5990E-002,2.9739E+002,9.5807E-005,2.6401E-018,1.1217E-014,1.9639E-001,6.4620E-013,2.9675E-004,1.2634E-008,1.9886E-008,9.3107E-034,1.9177E-035,4.1976E-020,1.7865E-021,1.3936E-009,1.5596E-001,1.0480E-004,3.3714E-005,2.6428E-018,4.9294E-007,4.6438E-020,6.7224E-012,5.7549E-008,9.5130E-029,3.7626E-006,1.2026E-020,1.9829E-006,9.1609E-016,7.4091E-007,4.4803E-019,1.9883E-007,7.9558E-010,1.3759E-024,1.4613E-020,3.4789E-012,6.2432E-008,6.3894E-027,5.7950E-009,2.6862E-008,2.7696E-011,2.4238E-014,1.2133E-029,2.4037E-008,8.4188E-014,4.5512E-035,1.5149E-009,6.0584E-012,7.3880E-009,4.3987E-016,6.4711E-001,0.0000E+000,2.9280E-013,1.1810E-009,2.2077E-018,6.1167E-010,9.9921E-001
6.0000E+000,-8.9149E-003,1.0647E+000,7.1811E-002,3.0049E+002,1.3843E-004,1.6795E-017,2.1127E-014,1.9616E-001,2.2786E-012,5.7066E-004,2.5006E-008,3.9268E-008,7.1842E-034,9.5952E-034,2.6794E-019,1.2260E-020,2.6823E-009,1.5562E-001,2.0686E-004,7.4854E-005,2.0795E-017,1.1045E-006,3.6681E-019,2.4955E-011,1.3002E-007,9.6239E-028,8.1607E-006,9.9763E-020,4.3777E-006,6.0679E-015,1.7004E-006,3.6920E-018,4.7836E-007,1.9141E-009,3.4943E-024,6.8163E-020,5.8738E-012,1.2119E-007,4.6397E-026,1.1507E-008,5.6923E-008,6.1742E-011,4.7944E-014,1.2418E-028,5.4295E-008,1.9097E-013,1.4764E-033,3.3704E-009,1.3479E-011,1.6437E-008,9.9591E-016,6.4721E-001,0.0000E+000,7.8011E-013,3.0972E-009,1.4362E-017,1.4783E-009,9.9849E-001
7.0000E+000,-8.6845E-003,1.0681E+000,6.8163E-002,3.0567E+002,1.8921E-004,9.0607E-017,3.9932E-014,1.9576E-001,6.8108E-012,1.0299E-003,4.6694E-008,7.2775E-008,4.4817E-034,2.5358E-032,1.4147E-018,6.7657E-020,4.8628E-009,1.5507E-001,3.8362E-004,1.5583E-004,1.3018E-016,2.3184E-006,2.2905E-018,8.1586E-011,2.7521E-007,9.2270E-027,1.6603E-005,6.8560E-019,9.0617E-006,3.3367E-014,3.6574E-006,2.5204E-017,1.0774E-006,4.3110E-009,8.8438E-024,2.8655E-019,9.3350E-012,2.2083E-007,3.1033E-025,2.1536E-008,1.1306E-007,1.2905E-010,8.9090E-014,1.1805E-027,1.1489E-007,4.0577E-013,3.7410E-032,7.0309E-009,2.8119E-011,3.4289E-008,2.1588E-015,6.4738E-001,0.0000E+000,1.9816E-012,7.5964E-009,9.7084E-017,3.3442E-009,9.9728E-001
8.0000E+000,-8.4585E-003,1.0735E+000,6.5188E-002,3.1392E+002,2.4892E-004,4.2629E-016,7.7326E-014,1.9508E-001,1.7401E-011,1.7618E-003,8.3292E-008,1.2777E-007,1.1648E-033,4.9939E-031,6.2125E-018,3.0709E-019,8.4092E-009,1.5423E-001,6.7503E-004,3.0634E-004,6.5791E-016,4.5893E-006,1.1467E-017,2.3875E-010,5.4933E-007,9.0805E-026,3.1928E-005,4.0295E-018,1.7714E-005,1.5057E-013,7.4195E-006,1.4270E-016,2.2833E-006,9.1366E-009,2.2657E-023,1.1059E-018,1.4148E-011,3.8141E-007,2.0235E-024,3.8454E-008,2.1206E-007,2.5468E-010,1.5707E-013,1.1192E-026,2.2920E-007,8.1270E-013,7.0017E-031,1.3850E-008,5.5389E-011,6.7544E-008,4.5705E-015,6.4764E-001,0.0000E+000,4.8773E-012,1.7490E-008,6.4657E-016,7.1178E-009,9.9534E-001
9.0000E+000,-8.2370E-003,1.0816E+000,6.3018E-002,3.2636E+002,3.1822E-004,1.7796E-015,1.5194E-013,1.9399E-001,3.8069E-011,2.8662E-003,1.4283E-007,2.1309E-007,8.0520E-034,7.4438E-030,2.2749E-017,1.1571E-018,1.3975E-008,1.5298E-001,1.1310E-003,5.6948E-004,2.6960E-015,8.5749E-006,4.6193E-017,6.2735E-010,1.0348E-006,9.6895E-025,5.8141E-005,2.0642E-017,3.2747E-005,5.5214E-013,1.4209E-005,6.6976E-016,4.5536E-006,1.8221E-008,5.9113E-023,4.0230E-018,2.0557E-011,6.2651E-007,1.3373E-023,6.5929E-008,3.7613E-007,4.7522E-010,2.6369E-013,1.1084E-025,4.3144E-007,1.5353E-012,9.6780E-030,2.5797E-008,1.0317E-010,1.2581E-007,9.5903E-015,6.4802E-001,0.0000E+000,1.1798E-011,3.7764E-008,3.9953E-015,1.4252E-008,9.9241E-001
1.0000E+001,-8.0197E-003,1.0932E+000,6.1740E-002,3.4414E+002,3.9765E-004,6.7452E-015,2.9472E-013,1.9234E-001,7.1911E-011,4.4387E-003,2.3628E-007,3.3772E-007,9.1596E-034,8.6432E-029,7.0325E-017,3.6621E-018,2.2467E-008,1.5124E-001,1.8067E-003,1.0007E-003,9.0561E-015,1.5111E-005,1.5141E-016,1.4765E-009,1.8384E-006,1.1462E-023,1.0025E-004,9.3906E-017,5.7230E-005,1.6542E-012,2.5668E-005,2.6217E-015,8.5331E-006,3.4144E-008,1.5609E-022,1.4363E-017,2.8667E-011,9.7966E-007,9.1875E-023,1.0901E-007,6.3042E-007,8.3805E-010,4.2213E-013,1.1660E-024,7.6563E-007,2.7319E-012,1.0090E-028,4.5418E-008,1.8164E-010,2.2150E-007,2.0095E-014,6.4856E-001,0.0000E+000,2.8386E-011,7.6321E-008,2.2182E-014,2.6810E-008,9.8818E-001
