T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.94E+002,0.00E+000,0.00E+000,0.00E+000,1.97E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.56E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,6.47E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+000
2.94E+002,2.32E-006,1.71E-021,1.21E-013,1.97E-001,1.11E-014,9.28E-007,2.30E-010,3.24E-011,2.17E-039,2.07E-040,5.68E-023,2.15E-024,9.89E-011,1.56E-001,2.02E-007,3.63E-008,2.18E-022,7.38E-010,7.98E-025,4.30E-013,5.31E-011,1.69E-034,5.32E-010,1.47E-025,1.51E-009,2.54E-016,1.06E-009,6.64E-023,6.40E-011,1.36E-013,1.01E-019,1.18E-020,4.16E-013,1.60E-012,3.58E-030,3.34E-011,5.37E-012,6.33E-014,6.73E-015,1.12E-035,1.69E-012,6.27E-017,3.31E-040,1.91E-013,1.45E-015,7.99E-013,2.76E-016,6.47E-001,0.00E+000,2.15E-015,1.63E-012,1.25E-020,4.11E-012,1.00E+000
2.94E+002,5.45E-006,1.70E-020,3.46E-013,1.97E-001,5.51E-014,3.05E-006,7.74E-010,1.09E-010,3.44E-038,1.67E-038,8.51E-022,3.50E-023,3.24E-010,1.56E-001,6.81E-007,1.38E-007,2.86E-021,2.84E-009,1.50E-023,1.96E-012,2.06E-010,3.13E-033,1.98E-009,2.77E-024,5.72E-009,1.20E-015,4.17E-009,7.22E-022,2.65E-010,5.61E-013,3.02E-019,5.28E-020,1.18E-012,5.31E-012,3.57E-029,1.13E-010,1.95E-011,2.42E-013,2.27E-014,2.15E-034,6.57E-012,2.44E-016,2.66E-038,7.27E-013,5.52E-015,3.05E-012,1.05E-015,6.47E-001,0.00E+000,9.67E-015,7.34E-012,1.23E-019,1.71E-011,1.00E+000
2.94E+002,9.61E-006,1.11E-019,7.55E-013,1.97E-001,2.37E-013,7.70E-006,2.01E-009,2.84E-010,1.88E-037,7.80E-037,8.60E-021,3.80E-022,8.15E-010,1.56E-001,1.77E-006,4.12E-007,2.68E-020,8.55E-009,1.93E-022,7.43E-012,6.27E-010,3.93E-032,5.73E-009,3.53E-023,1.69E-008,4.73E-015,1.29E-008,4.91E-021,8.63E-010,1.83E-012,6.88E-019,2.07E-019,2.55E-012,1.36E-011,2.33E-028,2.94E-010,5.52E-011,7.24E-013,5.92E-014,2.83E-033,2.00E-011,7.46E-016,1.24E-036,2.17E-012,1.65E-014,9.10E-012,3.13E-015,6.47E-001,0.00E+000,3.46E-014,2.63E-011,7.74E-019,5.59E-011,1.00E+000
2.94E+002,1.50E-005,6.28E-019,1.47E-012,1.97E-001,9.45E-013,1.75E-005,4.69E-009,6.67E-010,4.92E-039,2.91E-035,7.40E-020,3.42E-021,1.84E-009,1.56E-001,4.15E-006,1.11E-006,2.35E-019,2.34E-008,2.10E-021,2.62E-011,1.73E-009,4.16E-031,1.51E-008,3.77E-022,4.54E-008,1.76E-014,3.62E-008,2.95E-020,2.56E-009,5.44E-012,1.41E-018,7.78E-019,4.90E-012,3.12E-011,1.32E-027,6.91E-010,1.41E-010,1.96E-012,1.39E-013,3.14E-032,5.51E-011,2.07E-015,4.62E-035,5.88E-012,4.46E-014,2.46E-011,8.46E-015,6.47E-001,0.00E+000,1.13E-013,8.64E-011,4.02E-018,1.67E-010,1.00E+000
2.94E+002,2.19E-005,3.30E-018,2.68E-012,1.97E-001,3.50E-012,3.73E-005,1.03E-008,1.47E-009,4.29E-037,9.20E-034,5.66E-019,2.70E-020,3.92E-009,1.56E-001,9.11E-006,2.82E-006,1.98E-018,6.00E-008,2.00E-020,8.75E-011,4.49E-009,3.89E-030,3.72E-008,3.54E-021,1.15E-007,6.26E-014,9.57E-008,1.78E-019,7.17E-009,1.52E-011,2.70E-018,2.82E-018,8.84E-012,6.72E-011,7.03E-027,1.53E-009,3.39E-010,5.01E-012,3.07E-013,3.07E-031,1.43E-010,5.40E-015,1.46E-033,1.50E-011,1.13E-013,6.27E-011,2.15E-014,6.47E-001,0.00E+000,3.49E-013,2.67E-010,1.86E-017,4.69E-010,1.00E+000
2.95E+002,3.06E-005,1.66E-017,4.68E-012,1.97E-001,1.21E-011,7.59E-005,2.15E-008,3.08E-009,1.09E-037,2.53E-032,3.88E-018,1.88E-019,7.93E-009,1.56E-001,1.91E-005,6.82E-006,1.56E-017,1.47E-007,1.69E-019,2.77E-010,1.11E-008,3.28E-029,8.72E-008,2.95E-020,2.75E-007,2.13E-013,2.40E-007,1.13E-018,1.90E-008,4.03E-011,4.96E-018,9.91E-018,1.52E-011,1.38E-010,3.61E-026,3.21E-009,7.75E-010,1.22E-011,6.44E-013,2.71E-030,3.52E-010,1.34E-014,3.99E-032,3.62E-011,2.74E-013,1.52E-010,5.19E-014,6.47E-001,0.00E+000,1.02E-012,7.81E-010,7.87E-017,1.25E-009,1.00E+000
2.96E+002,4.14E-005,8.03E-017,7.86E-012,1.97E-001,3.84E-011,1.48E-004,4.29E-008,6.19E-009,2.83E-037,6.07E-031,2.37E-017,1.17E-018,1.54E-008,1.56E-001,3.83E-005,1.57E-005,1.12E-016,3.41E-007,1.26E-018,8.31E-010,2.60E-008,2.53E-028,1.96E-007,2.19E-019,6.29E-007,6.98E-013,5.75E-007,7.39E-018,4.80E-008,1.02E-010,8.76E-018,3.37E-017,2.52E-011,2.72E-010,1.81E-025,6.46E-009,1.69E-009,2.81E-011,1.30E-012,2.18E-029,8.29E-010,3.16E-014,9.54E-031,8.36E-011,6.34E-013,3.50E-010,1.19E-013,6.47E-001,0.00E+000,2.83E-012,2.17E-009,3.12E-016,3.17E-009,9.99E-001
2.97E+002,5.44E-005,3.71E-016,1.28E-011,1.96E-001,1.13E-010,2.77E-004,8.21E-008,1.19E-008,5.43E-036,1.28E-029,1.29E-016,6.43E-018,2.87E-008,1.56E-001,7.38E-005,3.45E-005,7.16E-016,7.58E-007,8.27E-018,2.35E-009,5.83E-008,1.83E-027,4.19E-007,1.45E-018,1.37E-006,2.18E-012,1.31E-006,4.70E-017,1.15E-007,2.45E-010,1.50E-017,1.11E-016,4.03E-011,5.15E-010,8.95E-025,1.25E-008,3.53E-009,6.22E-011,2.50E-012,1.62E-028,1.86E-009,7.12E-014,1.99E-029,1.84E-010,1.40E-012,7.72E-010,2.63E-013,6.47E-001,0.00E+000,7.44E-012,5.71E-009,1.18E-015,7.67E-009,9.99E-001
3.00E+002,7.00E-005,1.62E-015,2.02E-011,1.96E-001,3.02E-010,4.98E-004,1.51E-007,2.21E-008,4.68E-036,2.34E-028,6.20E-016,3.13E-017,5.17E-008,1.56E-001,1.37E-004,7.26E-005,4.03E-015,1.61E-006,4.71E-017,6.26E-009,1.25E-007,1.27E-026,8.59E-007,8.53E-018,2.87E-006,6.51E-012,2.85E-006,2.77E-016,2.64E-007,5.59E-010,2.48E-017,3.49E-016,6.26E-011,9.36E-010,4.38E-024,2.32E-008,7.05E-009,1.31E-010,4.64E-012,1.15E-027,3.98E-009,1.53E-013,3.58E-028,3.88E-010,2.94E-012,1.63E-009,5.53E-013,6.47E-001,0.00E+000,1.86E-011,1.43E-008,4.34E-015,1.76E-008,9.98E-001
